selection_name,layer,k,alpha,control_type,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_ci_top_delta_steer,26,200,1.5,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7990131578947368,-0.03388157894736842,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,27,200,0.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7990131578947368,-0.03388157894736842,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,20,500,1.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7996710526315789,-0.03453947368421053,-0.03125,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,27,100,1.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8,-0.034868421052631576,-0.03125,0,0.0,0,0.0,1.0,1,100
global_multilayer_ci_top_delta_steer,multi,100,3.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8003289473684211,-0.03519736842105263,-0.03125,0,0.0,0,0.0,1.0,5,100
layerwise_ci_top_delta_steer,26,200,3.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8009868421052632,-0.03585526315789474,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,22,200,1.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8016447368421052,-0.036513157894736845,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,26,500,2.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8016447368421052,-0.036513157894736845,-0.03125,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,20,1,0.5,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8023026315789473,-0.037171052631578945,-0.03125,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,27,100,2.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8049342105263158,-0.03980263157894737,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,22,10,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8052631578947368,-0.04013157894736842,-0.03125,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top_delta_steer,27,1,2.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8055921052631579,-0.040460526315789475,-0.03125,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,22,500,3.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.805921052631579,-0.04078947368421053,-0.03125,0,0.0,0,0.0,1.0,1,500
global_multilayer_ci_top_delta_steer,multi,500,1.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.80625,-0.04111842105263158,-0.03125,0,0.0,0,0.0,1.0,5,500
layerwise_ci_top_delta_steer,22,200,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8069078947368421,-0.04177631578947368,-0.03125,0,0.0,0,0.0,1.0,1,200
global_multilayer_ci_top_delta_steer,multi,100,0.5,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8075657894736842,-0.04243421052631579,-0.03125,0,0.0,0,0.0,1.0,5,100
layerwise_ci_top_delta_steer,23,200,1.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8075657894736842,-0.04243421052631579,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,27,1,1.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8085526315789474,-0.04342105263157895,-0.03125,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,20,100,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8111842105263158,-0.046052631578947366,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,26,200,2.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8111842105263158,-0.046052631578947366,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,20,200,0.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.812171052631579,-0.04703947368421053,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,20,500,1.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8138157894736842,-0.04868421052631579,-0.0625,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,22,500,0.5,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8184210526315789,-0.053289473684210525,-0.0625,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,26,500,3.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8197368421052632,-0.05460526315789474,-0.0625,0,0.0,0,0.0,1.0,1,500
