scenario_id,version,site,layer,cosine_base_ci,base_norm,ci_norm,norm_ratio_ci_over_base
103070,A,final,19,0.9973363876342773,100.42337799072266,101.54911041259766,1.0112098641212706
103070,A,final,20,0.99754399061203,121.94422912597656,122.63662719726562,1.0056779896535635
103070,A,final,21,0.9980741739273071,141.158935546875,141.35667419433594,1.0014008227441986
103070,A,final,22,0.9981675148010254,167.3578338623047,168.2452850341797,1.005302716648479
103070,A,final,23,0.9986933469772339,214.09103393554688,214.817138671875,1.0033915700390643
103070,A,final,24,0.9991437792778015,274.8488464355469,276.28082275390625,1.0052100503128552
103070,A,final,25,0.9993003606796265,352.3965148925781,354.0907897949219,1.0048078650915722
103070,A,final,26,0.9993791580200195,442.2449951171875,442.7884216308594,1.001228790646976
103070,A,final,27,0.9985074996948242,303.16534423828125,301.0033264160156,0.99286851923099
103070,B,recipient_last,0,0.9999964237213135,13.762476921081543,13.754557609558105,0.9994245722213487
103070,B,recipient_last,1,0.9999887943267822,19.00659942626953,18.99968910217285,0.9996364250152434
103070,B,recipient_last,2,0.9999843835830688,25.476924896240234,25.46257972717285,0.9994369348292305
103070,B,recipient_last,3,0.9999765753746033,29.701147079467773,29.72641372680664,1.0008506960108734
103070,B,recipient_last,4,0.9999698996543884,34.46479034423828,34.486167907714844,1.0006202725524524
103070,B,recipient_last,5,0.9999683499336243,35.89423751831055,35.91154479980469,1.0004821743736807
103070,B,recipient_last,6,0.9999592900276184,42.103782653808594,42.137271881103516,1.0007953971159855
103070,B,recipient_last,7,0.9999603033065796,49.07931137084961,49.12821578979492,1.0009964365346486
103070,B,recipient_last,8,0.9999535083770752,56.41148376464844,56.35555648803711,0.9990085834855069
103070,B,recipient_last,9,0.9999441504478455,55.69342803955078,55.65854263305664,0.9993736171803006
103070,B,recipient_last,10,0.9999237656593323,59.9820556640625,60.00019836425781,1.0003024687966169
103070,B,recipient_last,11,0.9999029636383057,63.493560791015625,63.47296142578125,0.9996755676484711
103070,B,recipient_last,12,0.9998564720153809,64.93962860107422,65.08365631103516,1.002217870860422
103070,B,recipient_last,13,0.9998601078987122,73.31989288330078,73.27631378173828,0.9994056305887972
103070,B,recipient_last,14,0.9998468160629272,71.98882293701172,71.82476806640625,0.9977211063618999
103070,B,recipient_last,15,0.9998623132705688,82.3755874633789,82.21273803710938,0.9980230863137465
103070,B,recipient_last,16,0.9998428225517273,82.82661437988281,82.58011627197266,0.9970239263097295
103070,B,recipient_last,17,0.9998271465301514,86.37467956542969,86.08325958251953,0.9966260947724918
103070,B,recipient_last,18,0.9998552203178406,102.2055435180664,101.76005554199219,0.9956412542731063
103070,B,recipient_last,19,0.9997993111610413,108.8487777709961,108.27784729003906,0.9947548287390218
