selection_name,layer,k,alpha,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
layerwise_ci_top_delta_steer,23,1,1.5,add_CI_D_minus_A_neuron_delta,0.02006578947368421,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,23,1,2.0,add_CI_D_minus_A_neuron_delta,0.02730263157894737,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,23,1,3.0,add_CI_D_minus_A_neuron_delta,0.042763157894736836,0.017543859649122806,0.017543859649122806
layerwise_ci_top_delta_steer,23,5,0.25,add_CI_D_minus_A_neuron_delta,-0.0020833333333333333,0.0,0.0
layerwise_ci_top_delta_steer,23,5,0.5,add_CI_D_minus_A_neuron_delta,-0.0027412280701754384,0.0,0.0
layerwise_ci_top_delta_steer,23,5,1.0,add_CI_D_minus_A_neuron_delta,-0.003947368421052632,0.0,0.0
layerwise_ci_top_delta_steer,23,5,1.5,add_CI_D_minus_A_neuron_delta,-0.003837719298245614,0.0,0.0
layerwise_ci_top_delta_steer,23,5,2.0,add_CI_D_minus_A_neuron_delta,-0.0042763157894736845,0.0,0.0
layerwise_ci_top_delta_steer,23,5,3.0,add_CI_D_minus_A_neuron_delta,-0.004166666666666667,0.0,0.0
layerwise_ci_top_delta_steer,23,10,0.25,add_CI_D_minus_A_neuron_delta,-0.0037280701754385964,0.0,0.0
layerwise_ci_top_delta_steer,23,10,0.5,add_CI_D_minus_A_neuron_delta,-0.0043859649122807015,0.0,0.0
layerwise_ci_top_delta_steer,23,10,1.0,add_CI_D_minus_A_neuron_delta,-0.004605263157894737,0.0,0.0
layerwise_ci_top_delta_steer,23,10,1.5,add_CI_D_minus_A_neuron_delta,-0.006469298245614034,0.0,0.0
layerwise_ci_top_delta_steer,23,10,2.0,add_CI_D_minus_A_neuron_delta,-0.008552631578947369,0.0,0.0
layerwise_ci_top_delta_steer,23,10,3.0,add_CI_D_minus_A_neuron_delta,-0.01074561403508772,0.0,0.0
layerwise_ci_top_delta_steer,23,20,0.25,add_CI_D_minus_A_neuron_delta,-0.0035087719298245615,0.0,0.0
layerwise_ci_top_delta_steer,23,20,0.5,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,23,20,1.0,add_CI_D_minus_A_neuron_delta,-0.0007675438596491229,0.0,0.0
layerwise_ci_top_delta_steer,23,20,1.5,add_CI_D_minus_A_neuron_delta,-0.0003289473684210526,0.0,0.0
layerwise_ci_top_delta_steer,23,20,2.0,add_CI_D_minus_A_neuron_delta,0.0008771929824561404,0.0,0.0
layerwise_ci_top_delta_steer,23,20,3.0,add_CI_D_minus_A_neuron_delta,0.0028508771929824563,0.0,0.0
layerwise_ci_top_delta_steer,23,50,0.25,add_CI_D_minus_A_neuron_delta,-0.0014254385964912282,0.0,0.0
layerwise_ci_top_delta_steer,23,50,0.5,add_CI_D_minus_A_neuron_delta,-0.004605263157894737,0.0,0.0
layerwise_ci_top_delta_steer,23,50,1.0,add_CI_D_minus_A_neuron_delta,-0.005482456140350878,0.0,0.0
layerwise_ci_top_delta_steer,23,50,1.5,add_CI_D_minus_A_neuron_delta,-0.005153508771929824,0.0,0.0
layerwise_ci_top_delta_steer,23,50,2.0,add_CI_D_minus_A_neuron_delta,-0.006798245614035088,0.0,0.0
layerwise_ci_top_delta_steer,23,50,3.0,add_CI_D_minus_A_neuron_delta,-0.008333333333333333,0.0,0.0
layerwise_ci_top_delta_steer,23,100,0.25,add_CI_D_minus_A_neuron_delta,-0.008223684210526315,0.0,0.0
layerwise_ci_top_delta_steer,23,100,0.5,add_CI_D_minus_A_neuron_delta,-0.01469298245614035,0.0,0.0
layerwise_ci_top_delta_steer,23,100,1.0,add_CI_D_minus_A_neuron_delta,-0.026535087719298245,0.0,0.0
layerwise_ci_top_delta_steer,23,100,1.5,add_CI_D_minus_A_neuron_delta,-0.03848684210526316,0.0,0.0
layerwise_ci_top_delta_steer,23,100,2.0,add_CI_D_minus_A_neuron_delta,-0.051535087719298246,0.0,0.0
layerwise_ci_top_delta_steer,23,100,3.0,add_CI_D_minus_A_neuron_delta,-0.07357456140350876,0.0,0.0
layerwise_ci_top_delta_steer,23,200,0.25,add_CI_D_minus_A_neuron_delta,-0.0042763157894736845,0.0,0.0
layerwise_ci_top_delta_steer,23,200,0.5,add_CI_D_minus_A_neuron_delta,-0.006140350877192982,0.0,0.0
layerwise_ci_top_delta_steer,23,200,1.0,add_CI_D_minus_A_neuron_delta,-0.011732456140350877,0.0,0.0
layerwise_ci_top_delta_steer,23,200,1.5,add_CI_D_minus_A_neuron_delta,-0.013486842105263158,0.0,0.0
layerwise_ci_top_delta_steer,23,200,2.0,add_CI_D_minus_A_neuron_delta,-0.01929824561403509,0.0035087719298245615,0.0035087719298245615
