experiment,pair,layer,n,mean_original_margin,mean_patched_margin,mean_effect,mean_destructive_effect,mean_rescue_effect,flip_rate,destroyed_no_rate,rescued_yes_rate,patched_yes_rate,patched_no_rate
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,10,190,0.7080592105263158,0.5613486842105263,-0.14671052631578949,,0.14671052631578949,0.08421052631578947,0.0,0.08421052631578947,0.9105263157894737,0.08947368421052632
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,11,190,0.7080592105263158,0.5355263157894737,-0.1725328947368421,,0.1725328947368421,0.1,0.0,0.1,0.8947368421052632,0.10526315789473684
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,12,190,0.7080592105263158,0.5269736842105263,-0.18108552631578947,,0.18108552631578947,0.10526315789473684,0.0,0.10526315789473684,0.8894736842105263,0.11052631578947368
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,13,190,0.7080592105263158,0.5210526315789473,-0.1870065789473684,,0.1870065789473684,0.12105263157894737,0.0,0.12105263157894737,0.8736842105263158,0.12631578947368421
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,14,190,0.7080592105263158,0.5491776315789474,-0.15888157894736843,,0.15888157894736843,0.1,0.0,0.1,0.8947368421052632,0.10526315789473684
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,15,190,0.7080592105263158,0.5231907894736842,-0.18486842105263157,,0.18486842105263157,0.10526315789473684,0.0,0.10526315789473684,0.8894736842105263,0.11052631578947368
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,16,190,0.7080592105263158,0.5080592105263158,-0.2,,0.2,0.12105263157894737,0.0,0.12105263157894737,0.8736842105263158,0.12631578947368421
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,17,190,0.7080592105263158,0.4975328947368421,-0.21052631578947367,,0.21052631578947367,0.12631578947368421,0.0,0.12631578947368421,0.868421052631579,0.13157894736842105
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,18,190,0.7080592105263158,-0.19555921052631578,-0.9036184210526316,,0.9036184210526316,0.6789473684210526,0.0,0.6789473684210526,0.3157894736842105,0.6842105263157895
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,19,190,0.7080592105263158,-0.49375,-1.2018092105263158,,1.2018092105263158,0.8789473684210526,0.0,0.8789473684210526,0.11578947368421053,0.8842105263157894
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,20,190,0.7080592105263158,-0.6830592105263158,-1.3911184210526315,,1.3911184210526315,0.9789473684210527,0.0,0.9789473684210527,0.015789473684210527,0.9842105263157894
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,21,190,0.7080592105263158,-0.6791118421052632,-1.387171052631579,,1.387171052631579,0.9736842105263158,0.0,0.9736842105263158,0.021052631578947368,0.9789473684210527
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,22,190,0.7080592105263158,-0.6901315789473684,-1.3981907894736842,,1.3981907894736842,0.968421052631579,0.0,0.968421052631579,0.02631578947368421,0.9736842105263158
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,23,190,0.7080592105263158,-0.7060855263157895,-1.4141447368421052,,1.4141447368421052,0.9789473684210527,0.0,0.9789473684210527,0.015789473684210527,0.9842105263157894
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,24,190,0.7080592105263158,-0.7143092105263158,-1.4223684210526315,,1.4223684210526315,0.9789473684210527,0.0,0.9789473684210527,0.015789473684210527,0.9842105263157894
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,25,190,0.7080592105263158,-0.7404605263157895,-1.4485197368421052,,1.4485197368421052,0.9894736842105263,0.0,0.9894736842105263,0.005263157894736842,0.9947368421052631
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,26,190,0.7080592105263158,-0.750328947368421,-1.4583881578947369,,1.4583881578947369,0.9947368421052631,0.0,0.9947368421052631,0.0,1.0
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,27,190,0.7080592105263158,-2.138486842105263,-2.846546052631579,,2.846546052631579,0.9947368421052631,0.0,0.9947368421052631,0.0,1.0
