model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,16,65,-1.8567307692307693,-1.6875,1.8567307692307693,1.6875,1.8567307692307693,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,17,65,-1.1497596153846155,-1.265625,1.1497596153846155,1.265625,1.1497596153846155,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,18,65,-0.05600961538461539,-0.046875,0.05600961538461539,0.046875,0.07716346153846154,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,19,65,-0.009615384615384616,0.0,0.009615384615384616,-0.0,0.03173076923076923,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,20,65,0.0014423076923076924,0.0,-0.0014423076923076924,-0.0,0.02451923076923077,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,21,65,0.007692307692307693,0.015625,-0.007692307692307693,-0.015625,0.020673076923076922,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,22,65,-0.0014423076923076924,0.0,0.0014423076923076924,-0.0,0.012980769230769231,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,23,65,-0.004807692307692308,0.0,0.004807692307692308,-0.0,0.016826923076923076,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,24,65,-0.004086538461538462,0.0,0.004086538461538462,-0.0,0.015625,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,25,65,-0.007692307692307693,0.0,0.007692307692307693,-0.0,0.009134615384615385,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,26,65,-0.005048076923076923,0.0,0.005048076923076923,-0.0,0.0069711538461538465,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,27,65,0.0,0.0,0.0,-0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,0,28,8.713169642857142,8.125,8.713169642857142,8.125,8.713169642857142,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,1,28,8.696428571428571,8.125,8.696428571428571,8.125,8.696428571428571,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,2,28,8.707589285714286,8.21875,8.707589285714286,8.21875,8.707589285714286,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,3,28,8.710379464285714,8.4375,8.710379464285714,8.4375,8.710379464285714,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,4,28,8.755580357142858,8.65625,8.755580357142858,8.65625,8.755580357142858,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,5,28,8.809709821428571,8.59375,8.809709821428571,8.59375,8.809709821428571,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,6,28,8.800223214285714,8.46875,8.800223214285714,8.46875,8.800223214285714,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,7,28,8.497767857142858,8.0,8.497767857142858,8.0,8.497767857142858,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,8,28,8.491071428571429,8.375,8.491071428571429,8.375,8.491071428571429,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,9,28,7.30859375,6.53125,7.30859375,6.53125,7.330915178571429,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,10,28,7.1875,6.46875,7.1875,6.46875,7.1875,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,11,28,6.630022321428571,5.9453125,6.630022321428571,5.9453125,6.630022321428571,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,12,28,5.266183035714286,4.8203125,5.266183035714286,4.8203125,5.266183035714286,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,13,28,4.013392857142857,2.796875,4.013392857142857,2.796875,4.013392857142857,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,14,28,3.372767857142857,2.46875,3.372767857142857,2.46875,3.4575892857142856,0.07142857142857142
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,15,28,1.7421875,1.265625,1.7421875,1.265625,1.9430803571428572,0.07142857142857142
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,16,28,0.8772321428571429,0.6875,0.8772321428571429,0.6875,0.984375,0.07142857142857142
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_span_AB,recipient_span_AB_A_to_B,17,28,0.33482142857142855,0.1875,0.33482142857142855,0.1875,0.46205357142857145,0.07142857142857142
