layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
25,1,random_neurons_1,95,-0.6588815789473684,-0.6572368421052631,0.001644736842105263,0,0.0
25,1,random_neurons_2,95,-0.6588815789473684,-0.625,0.03388157894736842,3,0.031578947368421054
25,1,top_writer_neurons,95,-0.6588815789473684,0.12105263157894737,0.7799342105263158,62,0.6526315789473685
25,5,random_neurons_0,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
25,5,random_neurons_1,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
25,5,random_neurons_2,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
25,5,top_writer_neurons,95,-0.6588815789473684,0.03388157894736842,0.6927631578947369,59,0.6210526315789474
25,10,random_neurons_0,95,-0.6588815789473684,-0.6595394736842105,-0.0006578947368421052,0,0.0
25,10,random_neurons_1,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
25,10,random_neurons_2,95,-0.6588815789473684,-0.6476973684210526,0.01118421052631579,1,0.010526315789473684
25,10,top_writer_neurons,95,-0.6588815789473684,0.06578947368421052,0.7246710526315789,61,0.6421052631578947
25,20,random_neurons_0,95,-0.6588815789473684,-0.6513157894736842,0.007565789473684211,1,0.010526315789473684
25,20,random_neurons_1,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
25,20,random_neurons_2,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
25,20,top_writer_neurons,95,-0.6588815789473684,0.02763157894736842,0.6865131578947369,59,0.6210526315789474
25,50,random_neurons_0,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
25,50,random_neurons_1,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
25,50,random_neurons_2,95,-0.6588815789473684,-0.6536184210526316,0.005263157894736842,1,0.010526315789473684
25,50,top_writer_neurons,95,-0.6588815789473684,0.33519736842105263,0.9940789473684211,73,0.7684210526315789
25,100,random_neurons_0,95,-0.6588815789473684,-0.6611842105263158,-0.002302631578947368,0,0.0
25,100,random_neurons_1,95,-0.6588815789473684,-0.66875,-0.009868421052631578,0,0.0
25,100,random_neurons_2,95,-0.6588815789473684,-0.6608552631578948,-0.001973684210526316,1,0.010526315789473684
25,100,top_writer_neurons,95,-0.6588815789473684,0.5,1.1588815789473683,82,0.8631578947368421
25,200,random_neurons_0,95,-0.6588815789473684,-0.6654605263157894,-0.006578947368421052,1,0.010526315789473684
25,200,random_neurons_1,95,-0.6588815789473684,-0.6677631578947368,-0.008881578947368421,0,0.0
25,200,random_neurons_2,95,-0.6588815789473684,-0.6921052631578948,-0.033223684210526315,0,0.0
25,200,top_writer_neurons,95,-0.6588815789473684,0.5092105263157894,1.1680921052631579,82,0.8631578947368421
26,1,random_neurons_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
26,1,random_neurons_1,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
26,1,random_neurons_2,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
26,1,top_writer_neurons,95,-0.6588815789473684,-0.7243421052631579,-0.06546052631578947,0,0.0
26,5,random_neurons_0,95,-0.6588815789473684,-0.6572368421052631,0.001644736842105263,1,0.010526315789473684
26,5,random_neurons_1,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
26,5,random_neurons_2,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,2,0.021052631578947368
26,5,top_writer_neurons,95,-0.6588815789473684,0.3536184210526316,1.0125,74,0.7789473684210526
26,10,random_neurons_0,95,-0.6588815789473684,-0.6546052631578947,0.0042763157894736845,1,0.010526315789473684
26,10,random_neurons_1,95,-0.6588815789473684,-0.6608552631578948,-0.001973684210526316,0,0.0
26,10,random_neurons_2,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
26,10,top_writer_neurons,95,-0.6588815789473684,0.5351973684210526,1.194078947368421,80,0.8421052631578947
26,20,random_neurons_0,95,-0.6588815789473684,-0.6529605263157895,0.0059210526315789476,1,0.010526315789473684
26,20,random_neurons_1,95,-0.6588815789473684,-0.6582236842105263,0.0006578947368421052,1,0.010526315789473684
26,20,random_neurons_2,95,-0.6588815789473684,-0.6674342105263158,-0.008552631578947369,0,0.0
26,20,top_writer_neurons,95,-0.6588815789473684,0.8092105263157895,1.468092105263158,86,0.9052631578947369
26,50,random_neurons_0,95,-0.6588815789473684,-0.6588815789473684,0.0,1,0.010526315789473684
26,50,random_neurons_1,95,-0.6588815789473684,-0.6444078947368421,0.014473684210526316,2,0.021052631578947368
26,50,random_neurons_2,95,-0.6588815789473684,-0.6473684210526316,0.011513157894736841,1,0.010526315789473684
26,50,top_writer_neurons,95,-0.6588815789473684,1.2529605263157895,1.9118421052631578,87,0.9157894736842105
26,100,random_neurons_0,95,-0.6588815789473684,-0.662828947368421,-0.003947368421052632,0,0.0
26,100,random_neurons_1,95,-0.6588815789473684,-0.625,0.03388157894736842,4,0.042105263157894736
26,100,random_neurons_2,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
26,100,top_writer_neurons,95,-0.6588815789473684,1.5332236842105262,2.192105263157895,89,0.9368421052631579
26,200,random_neurons_0,95,-0.6588815789473684,-0.6161184210526316,0.04276315789473684,5,0.05263157894736842
26,200,random_neurons_1,95,-0.6588815789473684,-0.6243421052631579,0.03453947368421053,2,0.021052631578947368
26,200,random_neurons_2,95,-0.6588815789473684,-0.649671052631579,0.009210526315789473,0,0.0
26,200,top_writer_neurons,95,-0.6588815789473684,1.6901315789473683,2.3490131578947366,90,0.9473684210526315
27,1,random_neurons_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,0,0.0
