component,layer,mode,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
attn,22,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,0,0.0
attn,22,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,24,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,24,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,24,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,24,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,24,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,24,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6305921052631579,0.028289473684210528,3,0.031578947368421054
attn,25,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6072368421052632,0.051644736842105264,5,0.05263157894736842
attn,25,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5782894736842106,0.0805921052631579,5,0.05263157894736842
attn,26,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,27,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
attn,27,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,27,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
attn,27,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,27,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
attn,27,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,1,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,1,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6509868421052631,0.007894736842105263,1,0.010526315789473684
mlp,1,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
