selection_name,layer,k,alpha,control_type,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
global_multilayer_ci_top,multi,10,1.0,random_neurons_0,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,4,10
layerwise_ci_top,20,100,1.0,random_neurons_2,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,22,1,1.0,random_neurons_2,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,22,10,1.0,random_neurons_2,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,22,500,1.0,random_neurons_1,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top,23,50,1.0,random_neurons_0,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,26,1,1.0,random_neurons_1,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,27,50,1.0,random_neurons_0,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,50
global_multilayer_ci_top,multi,5,1.0,random_neurons_1,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,2,5
global_multilayer_ci_top,multi,5,1.0,random_neurons_2,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,2,5
layerwise_ci_top,20,1,1.0,random_neurons_0,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,20,1,1.0,random_neurons_2,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,20,10,1.0,random_neurons_2,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,23,1,1.0,random_neurons_0,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,23,10,1.0,random_neurons_1,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,23,200,1.0,random_neurons_1,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,26,10,1.0,random_neurons_2,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,27,200,1.0,random_neurons_2,95,0.7651315789473684,0.7680921052631579,-0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,20,1,1.0,random_neurons_1,95,0.7651315789473684,0.7684210526315789,-0.003289473684210526,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,22,10,1.0,random_neurons_0,95,0.7651315789473684,0.7684210526315789,-0.003289473684210526,0.0,0,0.0,0,0.0,1.0,1,10
