selection_name,layer,k,alpha,control_type,selection_source,delta_source,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_top_delta_steer,22,100,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.10328947368421053,0.6618421052631579,0.65625,52,0.5473684210526316,52,0.5473684210526316,1.0,1,100
layerwise_top_delta_steer,26,50,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.08947368421052632,0.6756578947368421,0.65625,51,0.5368421052631579,51,0.5368421052631579,1.0,1,50
layerwise_top_delta_steer,23,50,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.11644736842105263,0.6486842105263158,0.65625,51,0.5368421052631579,51,0.5368421052631579,1.0,1,50
layerwise_top_delta_steer,27,100,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.13486842105263158,0.6302631578947369,0.625,50,0.5263157894736842,50,0.5263157894736842,1.0,1,100
layerwise_top_delta_steer,26,100,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.1411184210526316,0.6240131578947369,0.625,49,0.5157894736842106,49,0.5157894736842106,1.0,1,100
layerwise_top_delta_steer,22,50,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.14703947368421053,0.6180921052631579,0.625,49,0.5157894736842106,49,0.5157894736842106,1.0,1,50
layerwise_top_delta_steer,26,50,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.16529605263157895,0.5998355263157895,0.59375,44,0.4631578947368421,44,0.4631578947368421,1.0,1,50
layerwise_top_delta_steer,23,50,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.23223684210526316,0.5328947368421053,0.53125,41,0.43157894736842106,41,0.43157894736842106,1.0,1,50
layerwise_top_delta_steer,26,50,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.22302631578947368,0.5421052631578948,0.53125,38,0.4,38,0.4,1.0,1,50
layerwise_top_delta_steer,23,200,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.26611842105263156,0.4990131578947368,0.5,38,0.4,38,0.4,1.0,1,200
layerwise_top_delta_steer,27,50,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.26299342105263157,0.5021381578947368,0.5,35,0.3684210526315789,35,0.3684210526315789,1.0,1,50
layerwise_top_delta_steer,27,200,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.2881578947368421,0.4769736842105263,0.46875,33,0.3473684210526316,33,0.3473684210526316,1.0,1,200
layerwise_top_delta_steer,27,100,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.303125,0.4620065789473684,0.46875,32,0.3368421052631579,32,0.3368421052631579,1.0,1,100
layerwise_top_delta_steer,26,200,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.31546052631578947,0.44967105263157897,0.4375,30,0.3157894736842105,30,0.3157894736842105,1.0,1,200
layerwise_top_delta_steer,23,100,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.3078947368421053,0.45723684210526316,0.46875,29,0.30526315789473685,29,0.30526315789473685,1.0,1,100
layerwise_top_delta_steer,26,200,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.3381578947368421,0.42697368421052634,0.40625,29,0.30526315789473685,29,0.30526315789473685,1.0,1,200
layerwise_top_delta_steer,27,200,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.3707236842105263,0.3944078947368421,0.40625,28,0.29473684210526313,28,0.29473684210526313,1.0,1,200
layerwise_top_delta_steer,26,100,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.3506578947368421,0.4144736842105263,0.40625,27,0.28421052631578947,27,0.28421052631578947,1.0,1,100
layerwise_top_delta_steer,26,100,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.4019736842105263,0.3631578947368421,0.34375,26,0.2736842105263158,26,0.2736842105263158,1.0,1,100
layerwise_top_delta_steer,26,50,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.40592105263157896,0.3592105263157895,0.34375,24,0.25263157894736843,24,0.25263157894736843,1.0,1,50
layerwise_top_delta_steer,27,50,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.4055921052631579,0.3595394736842105,0.34375,23,0.24210526315789474,23,0.24210526315789474,1.0,1,50
layerwise_top_delta_steer,26,50,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.4493421052631579,0.3157894736842105,0.3125,22,0.23157894736842105,22,0.23157894736842105,1.0,1,50
layerwise_top_delta_steer,27,100,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.44342105263157894,0.32171052631578945,0.3125,21,0.22105263157894736,21,0.22105263157894736,1.0,1,100
layerwise_top_delta_steer,27,50,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.5055921052631579,0.25953947368421054,0.25,17,0.17894736842105263,17,0.17894736842105263,1.0,1,50
layerwise_top_delta_steer,27,200,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.525,0.24013157894736842,0.25,15,0.15789473684210525,15,0.15789473684210525,1.0,1,200
layerwise_top_delta_steer,27,100,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.531578947368421,0.23355263157894737,0.21875,15,0.15789473684210525,15,0.15789473684210525,1.0,1,100
layerwise_top_delta_steer,27,50,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.5865131578947368,0.17861842105263157,0.1875,10,0.10526315789473684,10,0.10526315789473684,1.0,1,50
layerwise_top_delta_steer,20,100,1.0,random_ci_source_0,random_ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.6055921052631579,0.15953947368421054,0.15625,6,0.06315789473684211,6,0.06315789473684211,1.0,1,100
layerwise_top_delta_steer,27,50,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.6375,0.12763157894736843,0.125,3,0.031578947368421054,3,0.031578947368421054,1.0,1,50
layerwise_top_delta_steer,20,200,1.0,random_base_source_0,random_base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.6460526315789473,0.11907894736842105,0.125,3,0.031578947368421054,3,0.031578947368421054,1.0,1,200
layerwise_top_delta_steer,27,200,1.0,random_ci_source_0,random_ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.6707236842105263,0.09440789473684211,0.09375,3,0.031578947368421054,3,0.031578947368421054,1.0,1,200
layerwise_top_delta_steer,20,100,0.5,random_ci_source_0,random_ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.6875,0.07763157894736843,0.0625,3,0.031578947368421054,3,0.031578947368421054,1.0,1,100
