layer,neuron,A_act_mean,D_act_mean,act_gap_D_minus_A,downproj_dot_direction,writer_score,abs_writer_score,rank_positive,rank_abs,D_minus_A_delta,score_source,selection_name,k,layer_label,control_type,selection_source,delta_source,random_control_id
20,14626,-0.24998716,-0.15785684,0.09213032,-0.004712102,-0.00043412746,0.00043412746,14725,9274,0.09213032000000002,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,1599,-0.1811183,-0.16571623,0.015402064,0.007713771,0.00011880799,0.00011880799,7700,14482,0.015402070000000018,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,15426,0.30510253,0.3539114,0.048808873,-0.004759239,-0.0002322931,0.0002322931,13362,12045,0.048808870000000004,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,4081,-0.07699858,0.032812882,0.109811455,-0.047067966,-0.005168602,0.005168602,18726,831,0.109811462,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,14419,-0.1644422,-0.10760241,0.056839786,-0.02253203,-0.0012807157,0.0012807157,17196,4231,0.056839790000000015,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,8696,0.05324707,0.051153485,-0.002093587,-0.013965134,2.9237222e-05,2.9237222e-05,9090,17326,-0.002093585000000002,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,17905,-0.26650777,-0.24317048,0.02333729,-0.0025118657,-5.862014e-05,5.862014e-05,11288,16216,0.023337289999999983,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,16808,0.21414313,0.093454845,-0.12068828,-0.016503898,0.001991827,0.001991827,1629,2639,-0.12068828499999999,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,4681,0.05235117,0.2188515,0.16650033,-0.008855615,-0.0014744628,0.0014744628,17469,3697,0.16650033,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,1725,0.031576823,-0.045893252,-0.07747008,0.002901908,-0.00022481104,0.00022481104,13292,12187,-0.077470075,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,12069,-0.6598324,-0.7409539,-0.081121504,0.016731117,-0.0013572534,0.0013572534,17304,4028,-0.08112150000000007,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,17361,0.28801784,0.32796052,0.03994268,0.037232697,0.0014871737,0.0014871737,2207,3665,0.03994267999999995,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
