version,site,layer,n,mean_cosine,median_cosine,std_cosine,mean_base_norm,mean_ci_norm,mean_norm_ratio
B,recipient_last,8,304,0.9999351691650716,0.9999364614486694,1.390348362762762e-05,57.87429861018532,57.83329117925543,0.9992836995694859
B,recipient_last,9,304,0.9999196527427748,0.999923825263977,1.6785118994908226e-05,54.942458830381696,54.89673795198139,0.9991645550101079
B,recipient_last,10,304,0.9999013309808154,0.9999034404754639,1.881906802948663e-05,60.26663056172823,60.27627456815619,1.000167906030973
B,recipient_last,11,304,0.9998920477534595,0.9998953342437744,2.1547844832056657e-05,64.35260782743755,64.41120895586516,1.0009067461309498
B,recipient_last,12,304,0.9998671657552844,0.999871164560318,2.6978313792628995e-05,67.59534888518483,67.73228827275727,1.0020312289199353
B,recipient_last,13,304,0.9998580538912824,0.9998601078987122,2.8963026416007264e-05,75.40248025091071,75.50145417765567,1.0013205426191956
B,recipient_last,14,304,0.9998281625540633,0.9998340904712677,3.479176823095922e-05,75.53893849724217,75.57099051224559,1.000431743031191
B,recipient_last,15,304,0.9998342359536573,0.9998408555984497,3.726993743126736e-05,85.23342295696861,85.23361429415252,1.0000088283396773
B,recipient_last,16,304,0.9998050177175748,0.9998136162757874,4.7666154601242596e-05,85.33780788120471,85.2652540708843,0.9991605225404949
B,recipient_last,17,304,0.9997749946227199,0.9997850656509399,6.0970472531787666e-05,90.0262918723257,89.85019101594624,0.9980554307558298
B,recipient_last,18,304,0.9997853717129481,0.9997950792312622,6.437968460227709e-05,102.81282565468236,102.57144513883088,0.9976702138009821
B,recipient_last,19,304,0.9997230707422683,0.999738335609436,7.435271424924088e-05,110.17302646135029,109.7749312551398,0.9963938706825946
B,recipient_last,20,304,0.999677694745754,0.99969881772995,9.35192743477474e-05,120.33457730945788,119.77731428648296,0.9953709732809495
B,recipient_last,21,304,0.9996369541867783,0.9996635317802429,0.00011291603466602609,142.35774391575865,141.70537790499236,0.9954040289263498
B,recipient_last,22,304,0.9995485032467466,0.9995765686035156,0.00013832632116888037,160.8888921235737,160.04972784142745,0.9947798955395053
B,recipient_last,23,304,0.9995154067873955,0.9995521903038025,0.0001501745445959901,199.04821973097953,197.7842251125135,0.9936412985802483
B,recipient_last,24,304,0.9994510359277851,0.9994823038578033,0.00016964710209688814,246.5761551104094,244.8622121810913,0.9930381053135533
B,recipient_last,25,304,0.9993396505321327,0.9993683099746704,0.00019876337717381184,293.2813378384239,291.73004782827275,0.9947034970070049
B,recipient_last,26,304,0.9990263200904194,0.9990830421447754,0.00037137165139220445,370.7481104198255,369.1593616887143,0.9956935862375991
