model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,6,49,0.008928571428571428,0.0,0.008928571428571428,0.0,0.02423469387755102,0.08163265306122448
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,7,49,0.008290816326530613,0.0,0.008290816326530613,0.0,0.018494897959183673,0.04081632653061224
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,8,49,0.003826530612244898,0.0,0.003826530612244898,0.0,0.01913265306122449,0.04081632653061224
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,9,49,0.008290816326530613,0.0,0.008290816326530613,0.0,0.024872448979591837,0.04081632653061224
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,10,49,0.010841836734693877,0.0,0.010841836734693877,0.0,0.02614795918367347,0.04081632653061224
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,11,49,0.014668367346938776,0.03125,0.014668367346938776,0.03125,0.029974489795918366,0.04081632653061224
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,12,49,0.01594387755102041,0.03125,0.01594387755102041,0.03125,0.032525510204081634,0.04081632653061224
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,13,49,0.032525510204081634,0.03125,0.032525510204081634,0.03125,0.04017857142857143,0.08163265306122448
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,14,49,0.04783163265306122,0.03125,0.04783163265306122,0.03125,0.05293367346938776,0.08163265306122448
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,15,49,0.10459183673469388,0.09375,0.10459183673469388,0.09375,0.10714285714285714,0.14285714285714285
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,16,49,0.1677295918367347,0.15625,0.1677295918367347,0.15625,0.1677295918367347,0.20408163265306123
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,17,49,0.36415816326530615,0.375,0.36415816326530615,0.375,0.36415816326530615,0.40816326530612246
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,18,49,4.309311224489796,4.21875,4.309311224489796,4.21875,4.309311224489796,1.0
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,19,49,5.639030612244898,5.78125,5.639030612244898,5.78125,5.639030612244898,1.0
